"jetz name"	"freq.numbers"	"min.prey"	"max.prey"	"mass"	"masslog"	"min.prey.log"	"max.prey.log"	"estimated_min_prey"	"estimated_max_prey"
"176"	"Circus_macrourus"	2	"24"	"150"	384.360000000001	5.95157961340907	3.17805383034795	5.01063529409626	18.5343550498385	266.524103683095
"177"	"Circus_maillardi"	1	"small birds"	"840"	663.6	6.49767955831629	NA	6.73340189183736	33.4937439588239	407.436401862614
"178"	"Circus_maurus"	1	"small birds"	"350"	508.990000000001	6.23242836999211	NA	5.85793315448346	25.1269962399703	331.535820231246
"179"	"Circus_melanoleucos"	2	"small birds"	"small birds"	336.299999999999	5.81800361874622	NA	NA	16.036835477124	240.243154068555
"180"	"Circus_pygargus"	1	"24"	"30"	310.75	5.73898873039082	3.17805383034795	3.40119738166216	14.7209380496743	225.933891616958
"181"	"Circus_ranivorus"	2	NA	"440"	506.999999999998	6.22851100359118	NA	6.08677472691231	25.0205655794473	330.527989514883
"182"	"Circus_spilonotus"	1	"small birds"	"small birds"	558.779999999999	6.32575583576162	NA	NA	27.8009119228011	356.476556155648
"188"	"Corvus_albus"	2	"small birds"	"small birds"	523.999999999999	6.26149168432104	NA	NA	25.9308840113283	339.109614968922
"189"	"Corvus_bennetti"	2	"small birds"	NA	389.000000000002	5.96357934361845	NA	NA	18.7769204497467	269.021333667831
"190"	"Corvus_brachyrhynchos"	2	"small birds"	"small birds"	448.759999999998	6.10648822367676	NA	NA	21.9217430437444	300.623059478165
"191"	"Corvus_corax"	2	NA	NA	927.970000000004	6.83299940467745	NA	NA	48.1681590182795	528.736441518425
"193"	"Corvus_coronoides"	2	"small birds"	NA	644.300000000002	6.4681644561446	NA	NA	32.4395143541856	398.19673206397
"196"	"Corvus_mellori"	2	"small birds"	NA	540.370000000001	6.29225409011131	NA	NA	26.8098038565516	347.314758639205
"197"	"Corvus_moneduloides"	2	"small"	"small"	277.38	5.62538840722819	NA	NA	13.015981532469	206.841765347225
"198"	"Corvus_orru"	2	"small birds"	NA	507.959999999999	6.23040270432083	NA	NA	25.0719046641022	331.014289035006
"199"	"Corvus_ruficollis"	2	NA	NA	573.500000000003	6.35175793656943	NA	NA	28.5953376986174	363.753665189837
"200"	"Corvus_tasmanicus"	1	"small birds"	"small birds"	676.339999999998	6.51669590818157	NA	NA	34.1910546556185	413.502704622488
"201"	"Cracticus_cassicus"	2	NA	NA	142	4.95582705760126	NA	NA	6.30074163613241	122.925893418342
"202"	"Cracticus_mentalis"	2	NA	NA	76.9999999999997	4.34380542185368	NA	NA	3.24626315112904	76.3958387476965
"203"	"Cracticus_nigrogularis"	1	"small birds"	"small birds"	128	4.85203026391962	NA	NA	5.63049400197902	113.398988197358
"204"	"Cracticus_quoyi"	2	NA	NA	168	5.12396397940326	NA	NA	7.5598697969362	140.085789211428
"205"	"Cracticus_torquatus"	1	"small birds"	"small birds"	82.8799999999998	4.41739377851117	NA	NA	3.515711815688	80.8924039268981
"208"	"Dacelo_gaudichaud"	2	NA	NA	143	4.96284463025991	NA	NA	6.34883489486773	123.598156121729
"209"	"Dacelo_leachii"	2	"10.8"	"small birds"	307.980000000001	5.73003484580027	2.37954613413017	NA	14.5788049297008	224.3671169439
"210"	"Dacelo_novaeguineae"	2	"61"	"106"	333.800000000002	5.81054201122774	4.11087386417331	4.66343909411207	15.9076986867756	238.854005602945
"211"	"Dendrocitta_formosae"	2	"small birds"	"small birds"	102.74	4.63220152503912	NA	NA	4.43709251037423	95.5897005441596
"212"	"Dendrocitta_vagabunda"	2	"small birds"	"small birds"	99.9999999999999	4.60517018598809	NA	NA	4.3090144651395	93.6024682954414
"213"	"Dicrurus_bracteatus"	2	"small birds"	"small birds"	85.53	4.44886719159269	NA	NA	3.63767731451016	82.8954818695654
"214"	"Dicrurus_caerulescens"	2	"small birds"	"small birds"	40.0000000000001	3.68887945411394	NA	NA	1.59656150999243	45.9213528376467
"217"	"Egretta_garzetta"	2	"small birds"	"small birds"	311.999999999999	5.74300318780948	NA	NA	14.7851122761726	226.63989988475
"218"	"Elanoides_forficatus"	2	"small birds"	"small birds"	416.240000000001	6.03126201698205	NA	NA	20.2057413485795	283.551163542981
"220"	"Elanus_caeruleus"	2	"15"	"120"	259.76	5.55975812779459	2.70805020110221	4.78749174278205	12.1225037100467	196.555979953794
"221"	"Elanus_leucurus"	2	"small birds"	"small birds"	345.999999999999	5.84643877505772	NA	NA	16.5386409969182	245.611471278376
"222"	"Ephippiorhynchus_asiaticus"	2	"825"	"253"	4100.00000000001	8.3187422526924	6.71538338633468	5.53338948872752	240.95044603264	1677.71114637797
"224"	"Erythrotriorchis_buergersi"	1	NA	NA	575	6.35437004079735	NA	NA	28.676387858057	364.492866385986
"225"	"Erythrotriorchis_radiatus"	1	"100"	"2300"	887.349999999997	6.78823949298057	4.60517018598809	7.74066440191724	45.8877457453198	510.65968919716
"231"	"Falco_araeus"	2	NA	NA	79.7700000000001	4.37914749392304	NA	NA	3.37299079879391	78.5233099480599
"232"	"Falco_berigora"	2	NA	"300"	587.010000000002	6.37504185545812	NA	5.7037824746562	29.3259630564028	370.396030131682
"233"	"Falco_biarmicus"	1	"50"	"500"	606.089999999999	6.40702848989356	3.91202300542815	6.21460809842219	30.3602050439641	379.719296756659
"234"	"Falco_cenchroides"	2	"small birds"	"small birds"	170.469999999999	5.13855932816283	NA	NA	7.68037918481602	141.683867037738
"235"	"Falco_cherrug"	2	"passerines"	"3400"	961.210000000004	6.86819290747029	NA	8.13153071060425	50.0404916461834	543.397945700047
"236"	"Falco_chicquera"	0	"20"	"150"	208	5.33753807970132	2.99573227355399	5.01063529409626	9.52837839779124	165.379262878931
"237"	"Falco_columbarius"	1	"15"	"50"	188.500000000001	5.23909800688807	2.70805020110221	3.91202300542815	8.56435408893992	153.198634599345
"238"	"Falco_concolor"	1	"8.1999999999999993"	"65"	250.000000000001	5.52146091786225	2.10413415427021	4.17438726989564	11.6297465174828	190.791898095312
"239"	"Falco_cuvierii"	2	"8"	"150"	182.2	5.20510498482586	2.07944154167984	5.01063529409626	8.25463780950272	149.204300367082
"240"	"Falco_deiroleucus"	1	"15"	"170"	459.559999999998	6.13026950998516	2.70805020110221	5.13579843705026	22.4939740445351	306.230970343851
"241"	"Falco_dickinsoni"	2	NA	NA	209	5.34233425196481	NA	NA	9.57802575653475	165.996865845626
"242"	"Falco_eleonorae"	1	"8.1999999999999993"	"65"	389.999999999999	5.96614673912369	2.10413415427021	4.17438726989564	18.8292292500932	269.558658276489
"243"	"Falco_fasciinucha"	1	"18"	"270"	254.690000000001	5.54004711933793	2.89037175789616	5.59842195899838	11.8663356585733	193.567868896892
"244"	"Falco_femoralis"	1	"small birds"	"593"	335.760000000002	5.81639661902534	NA	6.38519439899773	16.0089351173186	239.943293385065
"245"	"Falco_hypoleucos"	1	"120"	"329"	457.200000000002	6.12512093192066	4.78749174278205	5.79605775076537	22.3688340813541	305.008068247011
"246"	"Falco_jugger"	1	"passerines"	"840"	754.999999999997	6.62671774924902	NA	6.73340189183736	38.5200710960777	450.415853634525
"247"	"Falco_longipennis"	1	"25"	"340"	249.810000000001	5.52070062891584	3.2188758248682	5.82894561761021	11.6201696509218	190.679195431447
"248"	"Falco_mexicanus"	2	"20"	"1000"	713.07	6.56957959231337	2.99573227355399	6.90775527898214	36.2075170584404	430.851899770437
"249"	"Falco_moluccensis"	1	"small birds"	"small birds"	220	5.39362754635236	NA	NA	10.1254383653803	172.747888200312
"252"	"Falco_novaeseelandiae"	0	"10"	"1000"	418.6	6.0369158100119	2.30258509299405	6.90775527898214	20.3299063097883	284.799839418386
"254"	"Falco_peregrinus"	0	"10"	"3000"	759.95	6.63325264164247	2.30258509299405	8.00636756765025	38.7937979630173	452.709250977463
"257"	"Falco_rufigularis"	1	"5"	"690"	163.64	5.0976688930612	1.6094379124341	6.5366915975913	7.3475111426395	137.252033091603
"258"	"Falco_rupicoloides"	2	"small birds"	"453"	260.999999999999	5.56452040732269	NA	6.11589212548303	12.1852201802095	197.284814533243
"259"	"Falco_rusticolus"	0	"23"	"3330"	1431.72	7.26663179767571	3.13549421592915	8.11072758297449	77.0585387213302	740.630808270579
"260"	"Falco_severus"	2	"small birds"	"small birds"	200.640000000001	5.30151225744456	NA	NA	9.16359315379267	160.813081286742
